day,mean_S,sd_S,mean_I,sd_I,mean_R,sd_R
845,3841.9,213.11098047730906,439.7,59.4946216056544,994982.3,377.27762986956964
846,3841.1,220.85671825869372,442.4,56.98280442379087,994983.7,373.70283648910134
847,3835.1,222.3134948670458,428.1,47.56143395651565,994990.8,376.0446250114473
848,3836.3,212.3450258423776,425.1,41.5871374345482,994998.7,379.24399797491856
849,3836.5,217.63650888580253,429.1,41.824514342667506,995004.5,379.8097550090045
850,3835.6,210.31367050194336,418.5,42.1598149901064,995011.4,381.7444695080729
851,3830.2,206.67113973653892,415.4,41.92421734510974,995015.0,381.4039852964308
852,3834.5,208.41077227437165,426.6,50.87867922814035,995013.4,380.0055789064155
853,3835.1,203.8972535371676,421.8,59.911267721522975,995020.6,384.1042046111966
854,3829.7,210.5635533514763,420.6,56.00571399419884,995023.4,372.6988596709145
855,3833.2,218.77879239085308,422.6,52.89272161649465,995020.5,382.2421353016959
856,3835.1,216.81902591793,419.1,48.10083159364295,995025.2,386.54929827901645
857,3840.7,220.0850063043823,412.6,45.37223820796149,995031.8,389.97251185179704
858,3840.1,224.46489703292139,413.9,44.35639750926579,995033.1,393.66037392656125
859,3841.7,222.80935797223597,408.7,42.280137180477546,995038.0,393.4945997088143
860,3831.9,225.4353344087834,410.5,37.72333495331504,995040.8,391.12601549884147
861,3830.5,219.66941070617912,412.4,43.84335753566326,995044.0,399.3770148618971
862,3829.2,221.58781554950173,412.0,51.3634111016782,995048.0,405.51621422576926
863,3826.4,220.95166892331906,409.8,49.8072283910679,995052.7,406.8461748621953
864,3825.6,218.8525531036821,410.3,50.780015754231506,995051.4,412.84287568032465
865,3828.6,218.1945003889878,406.3,57.81357971964718,995056.0,413.31852123997544
866,3825.2,218.89714479636322,403.6,54.943971461844654,995054.7,420.69063455228
867,3820.7,220.64725241887786,406.4,47.73929199307422,995053.2,427.4189513814286
868,3824.4,213.77988679948356,404.7,46.17802507686962,995057.8,432.5736469088241
869,3826.6,216.85534348961752,406.1,43.19363379017792,995058.9,440.1505310686334
870,3822.0,213.67732682715777,408.1,39.84582788699464,995063.4,451.6627502905237
